Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Strength,Material_Cost_INR,Carbon_Emission_kgCO2
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,6822.1,502.4486
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,6840.1,502.5686
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,4977.55,317.15440000000007
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,4977.55,317.15440000000007
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,4094.48,197.63710000000003
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,4402.8,256.2024
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,5238.8,357.43440000000004
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,5238.8,357.43440000000004
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,4402.8,256.2024
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,5761.3,437.99440000000004
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,4094.48,197.63710000000003
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,4094.48,197.63710000000003
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,5500.05,397.71440000000007
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,3984.8,191.75439999999998
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,4611.8,288.42640000000006
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,5029.8,352.87440000000004
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,3887.7,148.9969
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,4820.8,320.65040000000005
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,5238.8,357.43440000000004
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,5761.3,437.99440000000004
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,5500.05,397.71440000000007
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,3887.7,148.9969
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,3887.7,148.9969
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,3887.7,148.9969
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,5029.8,352.87440000000004
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,5029.8,352.87440000000004
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,5238.8,357.43440000000004
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,4820.8,320.65040000000005
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,5500.05,397.71440000000007
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,5761.3,437.99440000000004
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,4611.8,288.42640000000006
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,4402.8,256.2024
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,4094.48,197.63710000000003
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,5761.3,437.99440000000004
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,3984.8,191.75439999999998
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,4455.05,236.59439999999998
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,4455.05,236.59439999999998
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,4977.55,317.15440000000007
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,5761.3,437.99440000000004
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,4455.05,236.59439999999998
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,4820.8,320.65040000000005
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,5500.05,397.71440000000007
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,4455.05,236.59439999999998
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,5029.8,352.87440000000004
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,5500.05,397.71440000000007
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,5500.05,397.71440000000007
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,5039.4,326.56809999999996
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,5238.8,357.43440000000004
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,4455.05,236.59439999999998
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,5238.8,357.43440000000004
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,4977.55,317.15440000000007
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,3984.8,191.75439999999998
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12,4455.05,236.59439999999998
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,4611.8,288.42640000000006
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,3887.7,148.9969
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,4094.48,197.63710000000003
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,5761.3,437.99440000000004
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,4094.48,197.63710000000003
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,4611.8,288.42640000000006
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,4977.55,317.15440000000007
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,4611.8,288.42640000000006
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,4402.8,256.2024
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,4660.400000000001,291.07859999999994
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,3984.8,191.75439999999998
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,4402.8,256.2024
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,4820.8,320.65040000000005
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,3887.7,148.9969
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,4977.55,317.15440000000007
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,3984.8,191.75439999999998
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,6273.8,449.50379999999996
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,6835.124999999999,376.66973
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,6358.505,323.2592500000001
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,7828.6950000000015,430.34594999999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,8097.87,434.54752
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,8298.35,398.18738
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,7274.975,461.18823000000003
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,10072.010000000002,499.79104
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,7002.515,389.02986999999996
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,9823.36,542.5138399999998
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,6974.004999999999,336.11951000000005
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,7063.030000000001,399.85552
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,6938.785000000001,369.36206999999996
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,6636.179999999999,336.29584
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,7561.205,391.44997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,6396.705000000001,301.27151000000003
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,7373.58,435.8465
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,8417.885,413.4783699999999
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,6477.335,343.18707
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2,6835.124999999999,376.66973
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,6358.505,323.2592500000001
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,7828.6950000000015,430.34594999999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,8097.87,434.54752
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7,8298.35,398.18738
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6,7274.975,461.18823000000003
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,10072.010000000002,499.79104
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9,7002.515,389.02986999999996
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9,9823.36,542.5138399999998
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,6974.004999999999,336.11951000000005
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1,7063.030000000001,399.85552
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,6938.785000000001,369.36206999999996
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,6636.179999999999,336.29584
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1,7561.205,391.44997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0,6396.705000000001,301.27151000000003
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,7373.58,435.8465
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09,8417.885,413.4783699999999
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9,6938.785000000001,369.36206999999996
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,6477.335,343.18707
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09,6835.124999999999,376.66973
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8,6358.505,323.2592500000001
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,7828.6950000000015,430.34594999999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8,8097.87,434.54752
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,8298.35,398.18738
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,7274.975,461.18823000000003
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9,10072.010000000002,499.79104
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7,7002.515,389.02986999999996
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,9823.36,542.5138399999998
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5,6974.004999999999,336.11951000000005
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5,7063.030000000001,399.85552
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,6938.785000000001,369.36206999999996
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,6636.179999999999,336.29584
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2,7561.205,391.44997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,6396.705000000001,301.27151000000003
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0,7373.58,435.8465
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,8417.885,413.4783699999999
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,6477.335,343.18707
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,6835.124999999999,376.66973
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9,6358.505,323.2592500000001
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,7828.6950000000015,430.34594999999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,8097.87,434.54752
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2,8298.35,398.18738
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3,7274.975,461.18823000000003
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3,10072.010000000002,499.79104
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2,7002.515,389.02986999999996
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8,9823.36,542.5138399999998
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1,6974.004999999999,336.11951000000005
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7,7063.030000000001,399.85552
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,6938.785000000001,369.36206999999996
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2,6636.179999999999,336.29584
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,7561.205,391.44997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99,6396.705000000001,301.27151000000003
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,7373.58,435.8465
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4,8417.885,413.4783699999999
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,6477.335,343.18707
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,6835.124999999999,376.66973
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6,6358.505,323.2592500000001
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,7828.6950000000015,430.34594999999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,8097.87,434.54752
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,8298.35,398.18738
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19,7274.975,461.18823000000003
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7,10072.010000000002,499.79104
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6,7002.515,389.02986999999996
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,9823.36,542.5138399999998
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,6974.004999999999,336.11951000000005
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,7063.030000000001,399.85552
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,6938.785000000001,369.36206999999996
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5,7561.205,391.44997
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,6396.705000000001,301.27151000000003
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3,7373.58,435.8465
